"idhod","hodnota","stapro_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","rok","tyden","roktyden","casref_od","casref_do","vek_txt","priznak"
"1326495435","9","5393","7700","400000610015000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","0-14",
"1326644592","68","5393","7700","410015610045000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","15-44",
"1326227274","444","5393","7700","410045610065000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","45-64",
"1326401990","469","5393","7700","410065610075000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","65-74",
"1326485348","682","5393","7700","410075610085000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","75-84",
"1326863131","577","5393","7700","410085799999000","97","19","2011","01","2011-W01","2011-01-03","2011-01-09","85 a více",
"1326487789","2249","5393",,,"97","19","2011","01","2011-W01","2011-01-03","2011-01-09","celkem",
"1326493649","13","5393","7700","400000610015000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","0-14",
"1326400517","64","5393","7700","410015610045000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","15-44",
"1326190752","402","5393","7700","410045610065000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","45-64",
"1326856979","428","5393","7700","410065610075000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","65-74",
"1326203220","669","5393","7700","410075610085000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","75-84",
"1326863110","541","5393","7700","410085799999000","97","19","2011","02","2011-W02","2011-01-10","2011-01-16","85 a více",
"1326985958","2117","5393",,,"97","19","2011","02","2011-W02","2011-01-10","2011-01-16","celkem",
"1326970000","13","5393","7700","400000610015000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","0-14",
"1326644354","75","5393","7700","410015610045000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","15-44",
"1326645928","393","5393","7700","410045610065000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","45-64",
"1326647458","411","5393","7700","410065610075000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","65-74",
"1326484471","692","5393","7700","410075610085000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","75-84",
"1326652739","555","5393","7700","410085799999000","97","19","2011","03","2011-W03","2011-01-17","2011-01-23","85 a více",
"1326486693","2139","5393",,,"97","19","2011","03","2011-W03","2011-01-17","2011-01-23","celkem",
"1326849326","9","5393","7700","400000610015000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","0-14",
"1326637638","61","5393","7700","410015610045000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","15-44",
"1326502789","412","5393","7700","410045610065000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","45-64",
"1326402153","415","5393","7700","410065610075000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","65-74",
"1326202629","662","5393","7700","410075610085000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","75-84",
"1326862983","528","5393","7700","410085799999000","97","19","2011","04","2011-W04","2011-01-24","2011-01-30","85 a více",
"1326986746","2087","5393",,,"97","19","2011","04","2011-W04","2011-01-24","2011-01-30","celkem",
"1326176158","14","5393","7700","400000610015000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","0-14",
"1326977993","79","5393","7700","410015610045000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","15-44",
"1326664575","475","5393","7700","410045610065000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","45-64",
"1326402956","481","5393","7700","410065610075000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","65-74",
"1326875398","682","5393","7700","410075610085000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","75-84",
"1326862881","543","5393","7700","410085799999000","97","19","2011","05","2011-W05","2011-01-31","2011-02-06","85 a více",
"1326862417","2274","5393",,,"97","19","2011","05","2011-W05","2011-01-31","2011-02-06","celkem",
"1326175988","14","5393","7700","400000610015000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","0-14",
"1326501706","84","5393","7700","410015610045000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","15-44",
"1326754233","409","5393","7700","410045610065000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","45-64",
"1326502895","464","5393","7700","410065610075000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","65-74",
"1326202044","731","5393","7700","410075610085000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","75-84",
"1326487811","573","5393","7700","410085799999000","97","19","2011","06","2011-W06","2011-02-07","2011-02-13","85 a více",
"1326486694","2275","5393",,,"97","19","2011","06","2011-W06","2011-02-07","2011-02-13","celkem",
"1326971744","5","5393","7700","400000610015000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","0-14",
"1326501103","63","5393","7700","410015610045000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","15-44",
"1326421691","450","5393","7700","410045610065000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","45-64",
"1326856157","461","5393","7700","410065610075000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","65-74",
"1326201204","723","5393","7700","410075610085000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","75-84",
"1326409272","550","5393","7700","410085799999000","97","19","2011","07","2011-W07","2011-02-14","2011-02-20","85 a více",
"1326307369","2252","5393",,,"97","19","2011","07","2011-W07","2011-02-14","2011-02-20","celkem",
"1326495692","13","5393","7700","400000610015000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","0-14",
"1326644593","83","5393","7700","410015610045000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","15-44",
"1326996999","454","5393","7700","410045610065000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","45-64",
"1326646544","490","5393","7700","410065610075000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","65-74",
"1326740643","712","5393","7700","410075610085000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","75-84",
"1326488536","546","5393","7700","410085799999000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","85 a více",
"1326307932","2298","5393",,,"97","19","2011","08","2011-W08","2011-02-21","2011-02-27","celkem",
"1326493895","5","5393","7700","400000610015000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","0-14",
"1326189065","66","5393","7700","410015610045000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","15-44",
